Lin_Acc_X_t1,Lin_Acc_Y_t1,Lin_Acc_Z_t1,Lin_Acc_X_t2,Lin_Acc_Y_t2,Lin_Acc_Z_t2,Lin_Acc_X_t3,Lin_Acc_Y_t3,Lin_Acc_Z_t3,Lin_Acc_X_t4,Lin_Acc_Y_t4,Lin_Acc_Z_t4,Lin_Acc_X_t5,Lin_Acc_Y_t5,Lin_Acc_Z_t5,Lin_Acc_X_t6,Lin_Acc_Y_t6,Lin_Acc_Z_t6,Lin_Acc_X_t7,Lin_Acc_Y_t7,Lin_Acc_Z_t7,Lin_Acc_X_t8,Lin_Acc_Y_t8,Lin_Acc_Z_t8,Lin_Acc_X_t9,Lin_Acc_Y_t9,Lin_Acc_Z_t9,Lin_Acc_X_t10,Lin_Acc_Y_t10,Lin_Acc_Z_t10,Lin_Acc_X_t11,Lin_Acc_Y_t11,Lin_Acc_Z_t11,Lin_Acc_X_t12,Lin_Acc_Y_t12,Lin_Acc_Z_t12,Lin_Acc_X_t13,Lin_Acc_Y_t13,Lin_Acc_Z_t13,Lin_Acc_X_t14,Lin_Acc_Y_t14,Lin_Acc_Z_t14,Lin_Acc_X_t15,Lin_Acc_Y_t15,Lin_Acc_Z_t15,Lin_Acc_X_t16,Lin_Acc_Y_t16,Lin_Acc_Z_t16,Lin_Acc_X_t17,Lin_Acc_Y_t17,Lin_Acc_Z_t17,Lin_Acc_X_t18,Lin_Acc_Y_t18,Lin_Acc_Z_t18,Lin_Acc_X_t19,Lin_Acc_Y_t19,Lin_Acc_Z_t19,Lin_Acc_X_t20,Lin_Acc_Y_t20,Lin_Acc_Z_t20
1.84,3.25,-13.67,0.63,1.08,-4.57,-1.54,-2.75,11.37,1.65,2.68,-11.29,3.08,5.24,-22.54,-2.17,-3.05,13.81,-6.58,-8.43,39.6,-7.09,-7.16,36.34,-2.71,-2.91,13.55,-79.15,-55.91,199.5,-348.69,-112.18,452.05,-369.85,231.99,395.05,148.99,-142.67,-29.48,436.8,195.95,-91.42,-11.96,-59.68,-92.57,38.33,-147.92,-100.86,-7.18,52.92,35.67,3.74,-24.92,-10.1,-4.91,28.02,15.26,-0.11,0.71,0.38
0.08,1.03,-3.03,0.1,0.97,-2.83,0.15,1.62,-4.74,0.16,2.14,-6.43,0.23,1.62,-4.8,-0.21,-1.55,4.5,0.49,5.15,-14.75,0.9,7.13,-19.76,0.14,1.36,-4.0,-1.9,-6.36,22.82,-296.08,-219.18,593.4,-772.33,72.68,895.98,-85.15,-0.55,9.47,672.84,328.2,-141.4,261.67,-294.84,157.0,2.37,-46.82,-23.1,4.02,-43.64,-5.64,-4.26,45.09,10.48,-3.07,28.5,7.3,-2.23,14.89,4.17
-1.9,-13.22,89.06,-0.31,-1.4,32.0,9.03,16.75,-125.73,1.29,-4.42,29.22,0.05,-0.52,3.59,0.06,-1.43,11.55,-0.39,-1.61,12.17,-55.8,-25.26,180.21,-327.73,-1.98,565.72,-512.92,74.66,909.25,-65.28,23.62,61.13,-727.29,125.09,-96.0,30.13,87.8,-116.89,-34.55,-243.58,-66.71,0.23,112.51,64.81,0.08,-3.38,-0.35,0.19,97.99,30.43,-0.71,29.19,8.28,0.27,-5.43,-1.68,-0.02,0.24,0.08
-0.86,-0.51,-9.66,-0.72,-0.45,-7.31,-1.26,-0.87,-12.23,-0.34,-0.24,-3.37,-0.22,-0.14,-2.22,-0.74,-0.5,-7.0,-0.61,-0.37,-5.93,-1.89,-1.3,-18.03,-1.37,-0.93,-13.01,-1.29,-0.84,-12.51,-0.5,-0.56,-17.03,-169.18,-34.89,411.83,-624.45,116.4,900.77,-929.82,198.84,1423.46,103.96,36.85,-75.12,479.93,337.2,-626.83,-33.06,-168.3,-128.95,-12.7,78.16,72.53,8.36,-56.95,-16.98,-3.6,27.56,10.24
-0.77,-0.85,-15.15,0.14,0.11,1.97,-1.01,-0.49,-13.63,-1.44,-0.75,-15.66,-0.58,-0.4,-6.85,-0.08,-0.06,-1.06,0.29,0.27,5.06,0.31,1.07,14.81,-0.11,12.39,127.68,-63.3,4.22,243.34,-445.5,63.36,495.63,-717.92,688.79,885.26,188.63,132.9,-463.01,494.74,24.19,-351.87,20.0,-45.61,140.68,-2.57,-10.45,-12.82,-1.44,43.94,21.23,-0.65,-32.04,-13.73,0.37,22.02,7.91,-8.4,-101.92,-40.4
0.21,-1.77,-13.94,-0.08,0.5,3.98,-0.11,0.69,5.34,0.01,-0.05,-0.44,0.32,-1.5,-12.39,0.18,-1.28,-10.35,0.22,-1.35,-10.37,0.59,-1.95,-15.86,0.16,-0.54,-4.6,0.44,-2.5,-20.24,-17.83,5.2,61.58,-496.44,-35.24,587.81,-674.24,376.26,883.15,70.41,-9.84,-78.58,-235.08,-244.64,351.67,68.61,77.15,-93.14,-30.58,-148.45,-6.8,0.96,101.68,63.19,-2.57,47.44,7.1,-1.6,23.84,5.05
-0.38,0.27,-5.56,-1.14,0.59,-13.5,-1.12,0.62,-13.58,-1.31,0.82,-16.81,-1.43,0.99,-18.67,1.01,-0.79,15.43,0.32,-0.27,5.25,-1.45,1.1,-17.88,-0.67,0.45,-8.52,-0.68,0.8,-12.46,-8.61,-34.62,195.28,-639.55,117.41,640.98,-954.32,442.5,1509.55,122.33,162.89,-151.98,1101.72,353.43,-129.65,-37.66,173.44,-314.27,1.53,-25.3,-24.25,-11.18,109.73,75.11,6.99,-53.46,-14.74,-8.72,74.06,39.64
-0.26,0.83,-4.8,-0.03,0.12,-0.68,-0.64,2.1,-12.24,-0.63,1.92,-11.23,-0.89,2.77,-16.18,-0.81,3.18,-18.27,-0.58,2.15,-12.54,-0.08,0.33,-1.96,-0.36,1.46,-8.89,-14.74,-6.14,76.24,-631.55,-16.17,888.13,-737.15,199.63,973.28,19.07,5.31,-26.04,43.23,9.15,-6.54,186.66,380.26,-542.06,51.09,-236.29,-69.58,-27.46,153.82,98.75,5.06,-24.62,-2.78,-6.52,39.6,11.2,-1.34,8.32,1.92
6.13,13.29,30.8,-7.84,-14.98,-28.0,-2.24,-4.41,-7.56,-2.79,-6.48,-9.56,4.12,8.01,15.5,-0.17,-0.3,-0.64,-6.46,-12.28,-22.11,-1.73,-3.56,-5.87,-0.02,-0.04,-0.07,3.92,73.04,192.31,-449.32,34.44,957.24,-324.66,282.47,424.09,-188.17,315.35,245.78,411.62,34.81,-133.17,511.4,637.36,-831.69,61.32,-279.29,-75.6,6.38,-73.43,4.46,-13.18,79.43,-42.47,-4.67,31.5,-11.17,-6.18,39.98,-15.34
-1.55,-2.98,-4.92,-2.8,-5.3,-8.82,-4.27,-8.15,-13.72,-5.36,-9.97,-16.56,-1.94,-3.63,-6.01,-0.35,-0.66,-1.08,-6.28,-11.78,-19.77,-2.97,-5.74,-9.84,7.17,15.53,26.73,11.46,27.95,50.93,-108.16,89.73,653.36,-290.52,79.2,536.12,-654.64,617.44,577.14,23.15,16.32,15.39,1141.65,-102.97,-1354.63,231.23,-80.26,-177.87,-33.54,158.46,142.49,3.2,-13.96,4.33,-6.29,32.38,-0.26,-7.43,53.02,-2.8
-1.42,-3.33,-6.28,-2.12,-4.91,-9.46,-1.77,-4.06,-7.65,-1.53,-3.47,-6.49,-2.21,-5.28,-10.05,-1.71,-3.89,-7.67,-1.66,-4.12,-8.02,-3.38,-9.27,-17.35,-1.51,-5.47,-11.01,11.53,135.17,451.33,-513.77,21.13,767.29,-484.06,491.06,724.59,204.71,-119.02,-125.61,340.91,145.87,-39.93,40.87,110.94,-78.39,16.21,-193.75,-32.66,2.31,-19.15,-3.11,4.13,-30.65,2.56,-5.11,52.3,4.46,-6.11,61.35,-3.31
-2.17,-4.02,-9.7,-2.01,-3.76,-8.96,-1.6,-2.81,-6.74,-3.29,-6.0,-14.23,-1.35,-2.48,-5.9,-1.68,-3.15,-7.57,-2.11,-3.87,-9.33,0.49,0.87,2.13,-1.21,-2.19,-5.26,36.6,37.69,275.68,-360.08,-8.55,735.02,-726.79,660.42,753.34,18.82,4.37,-22.48,397.09,100.74,-71.37,50.2,118.38,-226.43,1.97,-135.95,-36.36,-3.92,98.7,37.45,-2.59,27.31,-4.27,-2.44,36.5,2.48,-2.44,36.5,2.48
-0.63,-3.5,-7.23,-1.17,-6.99,-14.51,-0.6,-4.14,-8.63,-0.09,-0.49,-1.03,-0.06,-0.29,-0.59,-1.21,-6.15,-12.77,-0.69,-3.83,-8.08,-0.17,-0.92,-1.89,-0.18,-0.93,-2.02,-0.45,-4.74,-10.0,-26.51,63.4,227.66,-519.74,54.04,716.17,-945.28,619.17,1098.85,120.89,114.54,-80.29,645.51,112.06,-306.38,-0.89,19.92,-55.64,1.14,-19.19,-18.14,-7.92,55.25,8.83,-10.2,58.87,-12.9,-4.07,30.84,0.66
-2.64,-7.63,-13.51,-1.42,-3.9,-6.93,-2.77,-7.9,-14.25,-1.1,-3.03,-5.52,-1.15,-3.25,-5.89,-1.37,-3.65,-6.6,-0.56,-1.5,-2.71,-0.45,-1.21,-2.16,-1.42,-3.94,-7.16,0.17,0.64,1.15,-56.88,140.57,396.1,-602.02,346.39,929.07,-608.56,400.05,678.4,410.81,139.55,429.63,443.79,12.66,-271.0,1.75,-152.48,209.48,8.32,103.07,86.66,2.26,-29.91,-2.01,-1.62,6.64,-0.63,-0.77,4.47,-0.05
0.59,1.08,3.88,0.29,0.5,1.78,-1.17,-2.06,-7.31,-0.99,-1.79,-6.47,-1.71,-3.07,-11.38,-0.98,-1.72,-6.4,-1.56,-2.94,-10.67,-0.11,-0.19,-0.71,-0.96,-1.85,-6.85,-1.14,-2.38,-8.68,9.89,39.24,193.23,-555.68,111.03,846.89,-685.37,412.37,1081.1,129.14,43.05,-168.05,-384.88,-60.0,7.66,-1.06,12.33,-18.32,46.49,-263.17,-19.4,-28.49,173.07,127.13,5.34,-23.83,-1.1,-4.52,30.02,8.53
-1.25,-3.31,-9.02,-0.1,-0.26,-0.73,-1.17,-2.93,-8.05,-1.96,-4.87,-13.55,-2.01,-4.96,-13.87,-1.84,-4.75,-13.1,-0.46,-1.2,-3.35,-0.42,-1.84,-5.1,-49.22,47.56,216.51,-746.71,144.03,1223.66,-663.71,415.67,1070.82,-87.26,265.76,-342.71,230.48,55.55,-67.01,12.29,235.93,-357.04,-0.59,15.08,10.04,0.98,-6.38,-2.4,6.41,-32.84,-1.21,-6.5,55.14,14.03,-2.47,17.33,3.51,0.91,-6.31,-1.28
-1.44,-3.35,-8.67,-1.29,-3.14,-8.04,-0.1,-0.26,-0.67,-1.39,-3.19,-8.5,-2.48,-6.12,-15.82,-1.78,-4.22,-10.83,-0.66,-1.62,-4.21,-1.86,-4.95,-12.87,0.69,29.83,78.0,-714.59,231.65,1033.19,-1007.57,923.37,1613.87,-118.72,-12.63,-6.93,531.91,47.38,-145.36,8.33,-120.38,123.09,12.13,-121.6,-31.48,-14.22,78.66,21.48,-6.09,27.93,-0.03,-17.98,90.17,11.71,4.22,-21.18,-2.31,-7.39,43.45,10.99
-1.67,-1.84,-12.37,-1.55,-1.73,-10.89,-0.84,-0.89,-5.72,-1.49,-1.69,-10.43,-1.42,-1.58,-10.28,-1.63,-2.01,-12.61,-0.95,-1.15,-7.69,1.41,2.13,14.07,-2.15,19.1,166.59,-206.21,103.83,517.7,-686.0,409.79,1030.69,87.02,-13.55,-56.41,-35.63,-25.6,10.79,-23.57,-65.18,54.9,15.11,-185.99,-144.05,-31.61,114.3,55.59,-8.25,34.94,3.34,-18.17,83.63,24.88,-1.12,4.94,1.4,1.49,-5.76,-1.65
-1.43,-0.16,-9.32,0.3,-0.01,1.84,-11.47,-3.8,-76.86,-5.82,-2.96,-35.58,-4.05,-1.24,-26.44,-3.63,-1.35,-26.48,0.69,0.37,5.0,-0.24,-0.1,-1.65,0.71,0.33,5.18,-8.03,10.65,210.99,-254.28,71.98,709.84,-418.91,318.47,872.65,150.65,-27.74,-256.92,31.29,20.81,1.78,17.29,-131.52,102.16,22.36,-107.6,-54.36,-11.24,48.25,26.09,5.74,-22.5,-9.22,-2.61,10.96,4.33,-0.18,0.81,0.35
-0.64,-0.84,-2.9,-1.57,-1.98,-6.88,-3.28,-4.1,-14.23,-3.74,-4.88,-16.58,-3.58,-4.53,-15.72,-2.27,-2.89,-10.24,-1.6,-2.06,-7.27,-1.98,-2.59,-9.25,-1.54,-2.1,-7.41,-3.63,-5.06,-17.39,17.48,34.34,176.91,-223.54,250.18,698.57,-451.37,381.64,972.47,30.22,-2.07,-110.29,43.64,9.91,-17.62,-19.28,140.28,-267.31,6.26,-32.01,-21.45,13.21,-57.95,-0.57,-0.73,2.69,-0.06,-7.67,32.38,1.03
-4.29,-3.08,-13.17,-3.74,-2.58,-11.05,-3.45,-2.46,-10.34,-3.34,-2.4,-10.19,-4.2,-2.98,-12.92,-2.3,-1.58,-6.9,-3.72,-2.7,-11.41,-3.34,-2.37,-10.22,-2.1,-1.55,-6.58,10.56,11.96,57.01,-44.09,64.19,539.27,-242.57,304.9,725.9,-293.07,393.35,1141.27,-203.73,49.15,-93.53,12.95,127.36,-243.7,212.37,-343.64,-52.23,-63.2,141.4,93.04,-4.25,10.76,-1.17,-8.79,28.44,2.67,-10.62,34.21,0.83
-3.64,-5.07,-12.81,-2.65,-3.62,-9.39,-3.4,-4.64,-12.17,0.4,0.55,1.41,-2.72,-3.78,-9.71,-3.97,-5.51,-13.94,-3.94,-5.67,-14.46,-3.34,-4.73,-12.27,0.08,0.12,0.3,11.42,22.97,67.77,-143.74,149.77,839.25,-321.27,417.74,542.63,-132.65,104.53,267.46,-361.4,-51.74,-244.59,-76.59,-183.15,346.98,50.44,-239.86,72.06,-14.76,58.65,33.66,-6.46,24.38,6.66,-7.66,29.75,9.84,1.75,-5.94,-1.54
1.02,1.55,3.99,-2.89,-4.4,-11.28,-5.27,-7.46,-18.96,-4.71,-6.68,-17.09,-1.79,-2.53,-6.45,-1.9,-2.75,-6.91,-1.29,-1.94,-4.83,-1.72,-2.57,-6.57,-1.15,-1.74,-4.5,8.7,72.17,235.49,-312.29,196.29,911.08,-521.85,487.91,1151.3,-35.04,70.89,-197.05,-427.11,182.43,228.58,-75.45,111.15,-179.46,4.89,-20.66,-9.02,-2.84,9.66,0.08,1.77,-5.96,0.26,-12.32,43.77,2.4,-4.17,14.25,-0.06
-0.05,-0.08,-0.2,-3.4,-5.3,-13.34,-0.74,-1.14,-2.92,1.87,2.95,7.73,1.05,1.78,4.64,-0.75,-1.23,-3.15,-7.06,-11.58,-29.72,-2.64,-4.79,-12.26,9.02,39.56,114.99,-223.64,178.66,692.78,-314.06,550.9,887.39,49.77,-4.42,-58.52,-93.99,-18.52,-8.83,5.3,224.62,-282.43,36.14,-93.57,17.11,15.37,-47.74,-0.9,6.84,-21.1,3.28,-14.78,50.42,-0.6,-6.09,20.34,-1.5,-6.25,21.27,-0.85
-1.5,-1.59,-7.78,-1.4,-1.37,-6.58,-3.71,-3.49,-17.29,-1.28,-1.22,-6.08,-2.88,-2.84,-13.84,-2.21,-2.38,-10.99,-1.4,-1.43,-7.06,-1.14,-1.11,-5.57,-2.91,-2.88,-14.27,12.54,20.24,106.91,-330.87,81.7,757.95,-297.71,497.41,922.34,92.3,85.26,-164.26,10.27,5.59,-1.53,154.83,260.09,-614.05,-24.97,-202.53,-79.67,2.89,170.57,87.13,0.11,57.81,12.28,0.49,44.54,14.4,0.15,6.92,1.87
-4.12,-3.17,-8.92,-5.04,-3.83,-10.86,-3.61,-2.7,-7.65,-7.19,-5.41,-15.24,-1.76,-1.28,-3.7,-3.16,-2.35,-6.78,-6.41,-4.85,-13.84,-6.04,-4.34,-12.63,-6.96,-5.86,-16.93,29.76,61.06,227.72,-171.03,-211.62,1147.96,-7.3,7.13,41.26,-197.59,731.56,385.54,106.7,-351.0,-32.65,275.95,92.06,60.0,-36.86,-138.96,-260.56,-19.6,99.14,99.26,1.65,-28.24,-24.99,-5.23,61.38,50.33,-3.17,30.84,24.78
-2.21,-1.06,-6.73,-3.17,-1.47,-9.49,-2.88,-1.4,-8.47,-1.86,-0.86,-5.53,-1.12,-0.51,-3.31,-2.32,-1.17,-7.17,-4.37,-2.08,-13.82,-4.5,-2.33,-14.43,-1.82,-0.96,-6.01,0.83,0.43,2.94,2.2,12.1,122.96,-72.98,-70.36,769.56,-62.57,190.2,323.61,-270.74,244.09,512.89,137.13,19.5,104.21,607.36,267.47,-220.15,-85.87,-236.99,-17.24,-3.0,124.05,84.61,-0.99,29.96,2.48,-1.82,70.69,14.13
0.52,-9.7,-1.38,0.08,-26.98,-4.04,-15.0,-102.9,-13.83,-12.61,-58.33,-26.13,-2.82,-172.17,-80.8,46.2,-82.0,-111.16,-22.24,38.27,71.79,-5.28,14.29,23.28,-11.89,45.2,79.35,-12.98,123.83,205.61,-19.79,163.82,266.12,23.49,86.59,162.53,-12.59,-20.98,-46.99,-23.87,-33.13,-81.88,-9.25,-14.48,-37.31,-4.0,-7.36,-17.21,-3.05,-5.91,-12.83,3.3,5.94,12.92,1.23,2.28,5.59,-3.42,-6.07,-14.42
-4.54,-9.5,-23.3,-3.61,-8.09,-19.24,-1.04,-2.41,-5.61,-0.73,-1.64,-4.05,-2.49,-5.04,-12.29,-0.49,-1.02,-2.51,0.72,1.4,3.48,-1.35,-2.6,-6.68,-2.45,-5.85,-15.13,-9.84,60.93,257.54,-324.58,-86.68,824.87,-115.47,201.57,324.16,-6.72,0.9,8.63,-73.44,-48.25,4.92,56.02,89.98,-81.49,-17.68,-107.66,-14.09,2.57,75.34,24.45,1.27,37.51,-1.63,0.13,72.0,5.59,0.08,19.6,0.67
-4.26,-5.96,-16.57,-0.18,-0.26,-0.72,-1.76,-2.43,-6.75,-4.6,-6.29,-16.88,-0.52,-0.67,-1.86,-2.88,-4.05,-10.75,-2.68,-3.87,-10.15,-1.07,-1.52,-4.08,-1.42,-2.15,-5.95,1.31,2.58,7.92,-60.51,76.67,309.39,-284.39,116.12,918.62,-194.75,303.61,645.91,347.32,478.2,-208.06,-179.17,-87.38,155.8,40.76,150.22,-172.86,0.44,-17.14,-5.85,-1.88,21.25,-3.1,-4.55,43.09,-9.6,-2.66,32.64,-5.2
17.68,17.63,49.43,-2.05,-1.92,-6.26,-6.37,-6.11,-19.27,-10.13,-10.3,-29.19,0.05,0.06,0.15,-5.98,-6.2,-16.31,-8.07,-8.41,-22.71,-1.67,-1.82,-4.98,-0.19,-0.22,-0.66,-12.59,26.32,399.65,-250.99,130.33,805.47,-456.3,704.98,1084.37,-246.33,-123.39,143.2,428.18,99.46,-255.9,26.35,-247.93,-39.86,-3.02,37.9,13.28,-2.98,39.89,4.8,-3.68,70.11,4.14,-2.12,40.48,4.51,-1.41,23.03,2.36
-0.48,-0.43,-1.79,3.89,4.62,16.69,8.05,7.83,31.63,-5.33,-4.62,-19.31,-6.65,-5.45,-22.37,-2.64,-2.35,-9.63,0.94,0.89,3.68,-0.99,-0.99,-4.11,0.67,0.71,2.93,8.69,12.94,70.55,-144.85,-32.72,759.58,-138.26,322.48,613.08,-147.91,88.02,269.88,135.71,-401.75,210.31,130.18,82.88,-69.14,-16.31,-235.56,-35.44,-2.13,32.75,10.64,1.58,-18.19,-0.19,-3.33,34.16,2.86,-0.16,1.59,0.04
